Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,26958,-,-,-,19.61,-155.5,-10,2318,-10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Min efficiency,0.08,Mean efficiency,0.1,max efficiency,0.12,,Solar panel area (m^2),72,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag,INPUT,Min Instantaneous Power (W),Mean Instantaneous Power (W),Max Instantaneous Power (W),,,,,,,,,,,,,,,,,,,,,
2015,4,23,10,30,105,945,945,105,945,945,0,3.108758545,23.49019775,934.8031006,73.23319244,27.36041978,16.66644287,110.4065399,2.834671974,0,68040,5443.2,6804,8164.8,,,,,,,,,,,,,,,,,,,,,
2015,4,23,11,0,107,957,1004,107,957,1004,2,2.452752686,23.82756958,934.6858521,72.11462402,20.48928059,16.89152145,108.7928925,2.802516937,4,68904,5512.32,6890.4,8268.48,,,,,,,,,,,,,,,,,,,,,
2015,4,23,11,30,451,420,860,109,964,1045,7,1.954797363,24.22713623,934.2763062,71.12608337,13.93593506,16.887146,108.7928925,2.843818188,0,30240,2419.2,3024,3628.8,,,,,,,,,,,,,,,,,,,,,
2015,4,23,12,0,464,407,866,110,968,1068,8,1.455010986,24.6267334,933.8667603,70.14855957,8.490869297,16.88277054,108.9660187,2.885119438,0,29304,2344.32,2930.4,3516.48,,,,,,,,,,,,,,,,,,,,,
2015,4,23,12,30,467,407,871,110,969,1071,7,0.432611084,24.71538696,933.5791016,68.91963959,7.322537721,16.91508293,108.9660187,2.931794167,0,29304,2344.32,2930.4,3516.48,,,,,,,,,,,,,,,,,,,,,
2015,4,23,13,0,455,387,835,109,966,1055,7,-0.594396973,24.80404053,933.2913818,67.70278168,11.7812993,16.94739532,110.9346008,2.978469133,0,27864,2229.12,2786.4,3343.68,,,,,,,,,,,,,,,,,,,,,
2015,4,23,13,30,432,416,828,108,960,1020,7,-1.162084961,24.7885376,933.0187378,67.10089111,18.09718682,16.96022415,110.9346008,2.996489048,0,29952,2396.16,2995.2,3594.24,,,,,,,,,,,,,,,,,,,,,
2015,4,23,14,0,467,219,666,106,949,967,7,-1.733984375,24.77303467,932.7460938,66.49838257,24.88928783,16.97305298,113.7008133,3.014508724,0,15768,1261.44,1576.8,1892.16,,,,,,,,,,,,,,,,,,,,,
2015,4,23,14,30,358,434,727,103,935,897,7,-2.112799072,24.56072388,932.5917358,66.29749298,31.84770136,16.96411133,113.7008133,2.993283987,0,31248,2499.84,3124.8,3749.76,,,,,,,,,,,,,,,,,,,,,
2015,4,23,15,0,369,294,598,99,915,812,7,-2.504309082,24.34838257,932.4373779,66.08302307,38.87543398,16.95517159,116.8279419,2.97205925,0,21168,1693.44,2116.8,2540.16,,,,,,,,,,,,,,,,,,,,,
2015,4,23,15,30,226,574,626,95,888,713,7,-2.299749756,23.82824097,932.458252,66.81076813,45.93179572,16.91895103,116.8279419,2.919115543,0,41328,3306.24,4132.8,4959.36,,,,,,,,,,,,,,,,,,,,,
2015,4,23,16,0,89,851,602,89,851,602,1,-2.113195801,23.30809937,932.4790649,67.52760315,52.99526064,16.88272858,120.7738876,2.866171837,0,61272,4901.76,6127.2,7352.64,,,,,,,,,,,,,,,,,,,,,
2015,4,23,16,30,211,256,339,82,801,482,3,-0.983953857,22.58922729,932.7637329,69.50475311,60.0517967,16.82289124,120.7738876,2.798674107,0,18432,1474.56,1843.2,2211.84,,,,,,,,,,,,,,,,,,,,,
2015,4,23,17,0,144,329,272,73,730,357,7,0.150018311,21.87035522,933.0484009,71.54141998,67.090291,16.76305389,120.8836975,2.731176376,0,23688,1895.04,2368.8,2842.56,,,,,,,,,,,,,,,,,,,,,
2015,4,23,17,30,61,622,231,61,622,231,1,3.123803711,21.00820313,933.2466431,75.98686218,74.10032247,16.91292381,120.8836975,2.617057323,0,44784,3582.72,4478.4,5374.08,,,,,,,,,,,,,,,,,,,,,
2015,4,23,18,0,53,185,82,43,445,112,3,6.148309326,20.14608154,933.4448853,80.73230743,81.07070793,17.06279373,117.8931122,2.502938032,0,13320,1065.6,1332,1598.4,,,,,,,,,,,,,,,,,,,,,
2015,4,23,18,30,14,0,14,15,121,20,4,7.861810303,19.93337402,933.7064819,83.1896286,87.98755954,17.29527664,117.8931122,2.506472588,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2015,4,23,19,0,0,0,0,0,0,0,4,9.570947266,19.7206665,933.9680786,85.7009964,94.84046195,17.52776146,114.4294434,2.510006905,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
